policy,pool,ops,pages,write_frac,logical_reads,logical_writes,phys_reads,phys_writes,page_hits,page_misses
,84,200,200
LRU,5,200,10,0.60,200,135,200,123,200,200
LRU,5,200,10,0.80,200,179,200,166,200,200
LRU,5,200,10,1.00,200,220,200,205,200,200
LRU,10,200,10,0.00,200,20,0,0,200,0
LRU,10,200,10,0.20,200,55,0,0,200,0
LRU,10,200,10,0.40,200,95,0,0,200,0
LRU,10,200,10,0.60,200,135,0,0,200,0
LRU,10,200,10,0.80,200,179,0,0,200,0
LRU,10,200,10,1.00,200,220,0,0,200,0
MRU,5,200,10,0.00,200,20,110,10,200,110
MRU,5,200,10,0.20,200,55,110,37,200,110
MRU,5,200,10,0.40,200,95,110,61,200,110
MRU,5,200,10,0.60,200,135,110,78,200,110
MRU,5,200,10,0.80,200,179,110,95,200,110
MRU,5,200,10,1.00,200,220,110,115,200,110
MRU,10,200,10,0.00,200,20,0,0,200,0
MRU,10,200,10,0.20,200,55,0,0,200,0
MRU,10,200,10,0.40,200,95,0,0,200,0
MRU,10,200,10,0.60,200,135,0,0,200,0
MRU,10,200,10,0.80,200,179,0,0,200,0
MRU,10,200,10,1.00,200,220,0,0,200,0
